image_name,interesting/not interesting,num_person,num_vehicles,avg_person_conf,total_boxes,bounding_boxes
2019-12-16_08_55_10_661,0,1,0,0.618,1,"[{""label"": ""person"", ""score"": 0.6179706454277039, ""bbox"": [576.3065185546875, 478.724853515625, 599.0558471679688, 535.8286743164062]}]"
2019-12-16_17_55_12_221,0,0,0,0.0,0,[]
2019-12-17_15_05_10_013,0,0,0,0.0,0,[]
2019-12-18_12_15_10_601,0,0,0,0.0,0,[]
2019-12-19_09_05_11_615,0,0,0,0.0,0,[]
2019-12-19_17_55_11_745,0,0,0,0.0,0,[]
2019-12-20_15_05_10_969,0,0,0,0.0,0,[]
2019-12-23_12_25_10_860,0,0,0,0.0,0,[]
2019-12-24_09_05_10_974,0,0,0,0.0,0,[]
2020-01-07_10_00_09_568,0,0,0,0.0,0,[]
2020-01-08_07_00_10_313,0,0,0,0.0,0,[]
2020-01-08_16_10_11_405,0,0,0,0.0,0,[]
2020-01-09_13_00_12_954,0,0,0,0.0,0,[]
2020-01-10_10_00_10_280,0,0,0,0.0,0,[]
2020-01-13_06_50_10_862,0,0,0,0.0,0,[]
2020-01-13_15_30_12_430,0,0,0,0.0,0,[]
2020-01-14_12_30_12_525,0,0,0,0.0,0,[]
2020-01-15_09_50_11_646,0,0,0,0.0,0,[]
2020-01-16_07_00_10_763,0,0,0,0.0,0,[]
2020-01-16_15_50_10_701,0,0,0,0.0,0,[]
2020-01-17_13_00_16_107,0,0,0,0.0,0,[]
2020-01-20_10_10_11_361,0,0,0,0.0,0,[]
2020-01-20_14_01_11_639,0,0,0,0.0,0,[]
2020-01-20_18_10_12_539,0,0,0,0.0,0,[]
2020-01-21_15_40_11_904,0,1,0,0.769,1,"[{""label"": ""person"", ""score"": 0.7686512470245361, ""bbox"": [934.3883666992188, 518.0360107421875, 968.739013671875, 597.6060791015625]}]"
2020-01-22_12_50_12_986,0,0,0,0.0,0,[]
2020-01-23_09_50_10_887,1,1,0,0.688,1,"[{""label"": ""person"", ""score"": 0.6878805160522461, ""bbox"": [488.0653991699219, 494.99072265625, 514.6118774414062, 571.039794921875]}]"
2020-01-24_07_00_12_755,0,0,0,0.0,0,[]
2020-01-24_16_00_10_993,0,0,0,0.0,0,[]
2020-01-27_13_00_10_301,0,0,0,0.0,0,[]
2020-01-28_10_10_16_802,0,0,0,0.0,0,[]
2020-01-29_07_02_12_109,0,0,0,0.0,0,[]
2020-01-29_11_42_11_940,0,0,0,0.0,0,[]
2020-01-29_16_02_12_701,0,0,0,0.0,0,[]
2020-01-30_08_47_11_678,0,0,0,0.0,0,[]
2020-01-30_13_17_18_794,1,3,0,0.763,3,"[{""label"": ""person"", ""score"": 0.7866166830062866, ""bbox"": [905.37255859375, 530.80126953125, 940.9008178710938, 615.996337890625]}, {""label"": ""person"", ""score"": 0.7810145616531372, ""bbox"": [828.5433959960938, 530.0578002929688, 858.244140625, 623.4332885742188]}, {""label"": ""person"", ""score"": 0.7209417223930359, ""bbox"": [855.9771728515625, 524.9913330078125, 891.3536987304688, 624.79541015625]}]"
2020-01-30_17_42_11_715,0,0,0,0.0,0,[]
2020-01-31_10_17_21_600,0,0,0,0.0,0,[]
2020-01-31_14_47_15_647,0,0,0,0.0,0,[]
2020-02-03_07_27_12_677,0,0,0,0.0,0,[]
2020-02-03_12_52_11_114,0,0,0,0.0,0,[]
2020-02-04_09_16_11_113,0,0,0,0.0,0,[]
2020-02-04_13_46_11_752,0,1,0,0.62,1,"[{""label"": ""person"", ""score"": 0.6198021173477173, ""bbox"": [257.64923095703125, 481.3963623046875, 287.0442810058594, 543.8308715820312]}]"
2020-02-04_18_16_12_350,0,0,0,0.0,0,[]
2020-02-05_10_51_10_362,0,0,0,0.0,0,[]
2020-02-05_15_16_09_888,0,0,0,0.0,0,[]
2020-02-06_07_41_09_985,1,1,0,0.626,1,"[{""label"": ""person"", ""score"": 0.6255167126655579, ""bbox"": [428.8356018066406, 512.8351440429688, 463.6885681152344, 596.9031372070312]}]"
2020-02-06_12_11_11_891,0,0,0,0.0,0,[]
2020-02-06_16_41_10_538,0,0,0,0.0,0,[]
2020-02-07_09_06_10_041,0,0,0,0.0,0,[]
2020-02-07_13_41_09_917,1,2,1,0.691,3,"[{""label"": ""person"", ""score"": 0.7392863035202026, ""bbox"": [583.0109252929688, 611.2648315429688, 626.2003173828125, 735.9750366210938]}, {""label"": ""car"", ""score"": 0.6968910098075867, ""bbox"": [492.9122314453125, 739.7393798828125, 656.898193359375, 870.9600830078125]}, {""label"": ""person"", ""score"": 0.6427128314971924, ""bbox"": [599.3565673828125, 524.859130859375, 635.5172119140625, 565.4631958007812]}]"
2020-02-07_18_01_12_556,0,0,0,0.0,0,[]
2020-02-10_10_26_15_476,1,1,0,0.68,1,"[{""label"": ""person"", ""score"": 0.6801122426986694, ""bbox"": [357.3900146484375, 420.41192626953125, 391.42755126953125, 486.1977233886719]}]"
2020-02-10_14_56_18_241,1,1,0,0.601,1,"[{""label"": ""person"", ""score"": 0.6005712747573853, ""bbox"": [637.5437622070312, 518.5438842773438, 678.3764038085938, 603.6328735351562]}]"
2020-02-11_07_36_11_628,0,0,0,0.0,0,[]
2020-02-11_12_06_13_783,0,0,0,0.0,0,[]
2020-02-11_16_41_11_135,0,0,0,0.0,0,[]
2020-02-12_09_26_12_736,0,0,0,0.0,0,[]
2020-02-12_14_01_10_995,0,0,0,0.0,0,[]
2020-02-13_06_51_10_669,0,0,0,0.0,0,[]
2020-02-13_11_41_11_391,0,0,0,0.0,0,[]
2020-02-13_16_21_10_760,0,0,0,0.0,0,[]
2020-02-14_08_51_14_088,0,0,0,0.0,0,[]
2020-02-14_13_31_13_844,0,0,0,0.0,0,[]
2020-02-14_17_56_11_656,0,0,0,0.0,0,[]
2020-02-17_13_55_29_664,1,1,0,0.714,1,"[{""label"": ""person"", ""score"": 0.7143204808235168, ""bbox"": [698.1665649414062, 506.4432373046875, 733.5610961914062, 594.4629516601562]}]"
2020-02-18_06_40_28_352,0,0,0,0.0,0,[]
2020-02-18_11_20_28_752,1,2,0,0.765,2,"[{""label"": ""person"", ""score"": 0.7648146152496338, ""bbox"": [229.5725555419922, 541.5973510742188, 279.45733642578125, 665.1229858398438]}, {""label"": ""person"", ""score"": 0.7643869519233704, ""bbox"": [149.1824188232422, 515.5946655273438, 188.81948852539062, 627.4566650390625]}]"
2020-02-18_15_50_28_194,0,0,0,0.0,0,[]
2020-02-19_08_20_26_802,0,0,0,0.0,0,[]
2020-02-19_12_45_27_863,1,2,0,0.662,2,"[{""label"": ""person"", ""score"": 0.6727930307388306, ""bbox"": [825.9075927734375, 585.9843139648438, 867.1277465820312, 644.3935546875]}, {""label"": ""person"", ""score"": 0.651762068271637, ""bbox"": [8.47121810913086, 470.6636657714844, 49.92767333984375, 529.6546020507812]}]"
2020-02-19_17_05_27_820,0,0,0,0.0,0,[]
2020-02-20_09_25_27_612,0,1,1,0.754,2,"[{""label"": ""person"", ""score"": 0.7541177272796631, ""bbox"": [311.7097473144531, 555.8336791992188, 369.3277282714844, 692.6256103515625]}, {""label"": ""train"", ""score"": 0.6827015280723572, ""bbox"": [0.0, 515.026123046875, 360.9444580078125, 949.5076904296875]}]"
2020-02-20_13_50_28_857,1,1,0,0.601,1,"[{""label"": ""person"", ""score"": 0.6009836792945862, ""bbox"": [363.6379699707031, 336.4383850097656, 399.00189208984375, 427.3382263183594]}]"
2020-02-20_18_25_28_256,0,0,0,0.0,0,[]
2020-02-21_10_45_28_672,1,2,0,0.768,2,"[{""label"": ""person"", ""score"": 0.8149808645248413, ""bbox"": [878.826171875, 520.0404052734375, 929.611083984375, 635.6004028320312]}, {""label"": ""person"", ""score"": 0.7208395004272461, ""bbox"": [959.70947265625, 505.4971923828125, 1021.5985717773438, 603.8396606445312]}]"
2020-02-21_15_20_28_616,0,0,0,0.0,0,[]
2020-02-24_07_55_27_163,0,0,0,0.0,0,[]
2020-02-24_12_25_28_626,0,0,0,0.0,0,[]
2020-02-24_16_55_27_693,0,0,0,0.0,0,[]
2020-02-25_09_15_28_698,0,0,0,0.0,0,[]
2020-02-25_14_00_29_208,0,0,0,0.0,0,[]
2020-02-26_06_35_27_479,0,0,0,0.0,0,[]
2020-02-26_11_00_28_475,0,0,0,0.0,0,[]
2020-02-26_15_30_27_712,1,2,0,0.702,2,"[{""label"": ""person"", ""score"": 0.7102558016777039, ""bbox"": [774.5069580078125, 349.2584228515625, 807.8512573242188, 427.08355712890625]}, {""label"": ""person"", ""score"": 0.6940661668777466, ""bbox"": [681.7466430664062, 350.6577453613281, 710.8720092773438, 423.30474853515625]}]"
2020-02-27_08_15_27_266,0,0,0,0.0,0,[]
2020-02-27_12_45_29_304,0,0,0,0.0,0,[]
2020-02-27_17_10_27_961,0,0,0,0.0,0,[]
2020-02-28_09_50_26_762,0,0,0,0.0,0,[]
2020-02-28_14_20_28_076,0,0,0,0.0,0,[]
2020-03-02_06_55_28_518,0,0,0,0.0,0,[]
2020-03-02_11_20_28_952,1,3,0,0.652,3,"[{""label"": ""person"", ""score"": 0.6708638668060303, ""bbox"": [62.569610595703125, 489.0064697265625, 107.91899108886719, 550.0480346679688]}, {""label"": ""person"", ""score"": 0.6477177739143372, ""bbox"": [675.4530029296875, 346.7896423339844, 724.24072265625, 423.86761474609375]}, {""label"": ""person"", ""score"": 0.6363344788551331, ""bbox"": [632.4786376953125, 322.8629150390625, 668.4625244140625, 420.58953857421875]}]"
2020-03-02_15_50_28_561,0,0,0,0.0,0,[]
2020-03-03_08_20_27_739,0,0,0,0.0,0,[]
2020-03-03_12_45_27_552,0,0,0,0.0,0,[]
2020-03-03_17_20_28_023,0,0,0,0.0,0,[]
2020-03-04_10_05_28_755,0,0,0,0.0,0,[]
2020-03-04_14_40_28_160,0,0,0,0.0,0,[]
2020-03-05_07_20_27_379,0,0,1,0.0,1,"[{""label"": ""train"", ""score"": 0.6151342391967773, ""bbox"": [0.0917816162109375, 506.98480224609375, 378.69500732421875, 948.4032592773438]}]"
2020-03-05_11_55_30_129,1,1,0,0.806,1,"[{""label"": ""person"", ""score"": 0.8062692284584045, ""bbox"": [216.2149200439453, 543.5162353515625, 275.1766662597656, 656.913818359375]}]"
2020-03-05_16_15_28_409,0,0,0,0.0,0,[]
2020-03-06_08_40_28_584,0,0,0,0.0,0,[]
2020-03-06_13_10_28_705,0,0,0,0.0,0,[]
2020-03-06_17_30_28_914,0,0,0,0.0,0,[]
2020-03-09_10_00_27_663,1,2,0,0.632,2,"[{""label"": ""person"", ""score"": 0.6533643007278442, ""bbox"": [667.1653442382812, 336.00518798828125, 701.3780517578125, 423.57366943359375]}, {""label"": ""person"", ""score"": 0.610247015953064, ""bbox"": [319.2378234863281, 337.59307861328125, 360.1138610839844, 411.92535400390625]}]"
2020-03-09_14_35_27_372,0,0,0,0.0,0,[]
2020-03-10_06_55_26_691,0,0,0,0.0,0,[]
2020-03-10_11_15_28_620,0,0,0,0.0,0,[]
2020-03-10_15_55_28_100,0,0,0,0.0,0,[]
2020-03-11_08_20_28_694,0,1,1,0.722,2,"[{""label"": ""person"", ""score"": 0.7219765782356262, ""bbox"": [218.44308471679688, 527.6351318359375, 268.4035339355469, 641.5982666015625]}, {""label"": ""truck"", ""score"": 0.6426583528518677, ""bbox"": [0.0, 455.5511474609375, 150.95852661132812, 516.0259399414062]}]"
2020-03-11_12_40_30_217,0,0,0,0.0,0,[]
2020-03-11_17_10_28_603,0,0,0,0.0,0,[]
2020-03-12_09_55_29_552,0,0,0,0.0,0,[]
2020-03-12_14_30_28_839,1,1,0,0.814,1,"[{""label"": ""person"", ""score"": 0.8141992688179016, ""bbox"": [203.5788116455078, 517.5011596679688, 249.24298095703125, 632.648681640625]}]"
2020-03-13_06_55_28_434,0,0,0,0.0,0,[]
